query_id,category,candidate_position,provider_id,is_supplement
EVAL-A1335E48-001,A/C,1,P05334,False
EVAL-A1335E48-001,A/C,2,P05004,False
EVAL-A1335E48-001,A/C,3,P05256,False
EVAL-A1335E48-001,A/C,4,P05132,False
EVAL-A1335E48-001,A/C,5,P05154,False
EVAL-A1335E48-001,A/C,6,P05330,False
EVAL-A1335E48-001,A/C,7,P05028,False
EVAL-A1335E48-001,A/C,8,P05202,False
EVAL-A1335E48-001,A/C,9,P05019,False
EVAL-A1335E48-001,A/C,10,P05297,False
EVAL-A1335E48-002,A/C,1,P05224,False
EVAL-A1335E48-002,A/C,2,P05016,False
EVAL-A1335E48-002,A/C,3,P05006,False
EVAL-A1335E48-002,A/C,4,P05312,False
EVAL-A1335E48-002,A/C,5,P05219,False
EVAL-A1335E48-002,A/C,6,P05155,False
EVAL-A1335E48-002,A/C,7,P05008,False
EVAL-A1335E48-002,A/C,8,P05314,False
EVAL-A1335E48-002,A/C,9,P05035,False
EVAL-A1335E48-002,A/C,10,P05279,False
EVAL-A1335E48-003,A/C,1,P05227,False
EVAL-A1335E48-003,A/C,2,P05092,False
EVAL-A1335E48-003,A/C,3,P05210,False
EVAL-A1335E48-003,A/C,4,P05109,False
EVAL-A1335E48-003,A/C,5,P05129,False
EVAL-A1335E48-003,A/C,6,P05036,False
EVAL-A1335E48-003,A/C,7,P05194,False
EVAL-A1335E48-003,A/C,8,P05078,False
EVAL-A1335E48-003,A/C,9,P05324,False
EVAL-A1335E48-003,A/C,10,P05073,False
EVAL-A1335E48-004,A/C,1,P05187,False
EVAL-A1335E48-004,A/C,2,P05177,False
EVAL-A1335E48-004,A/C,3,P05158,False
EVAL-A1335E48-004,A/C,4,P05260,False
EVAL-A1335E48-004,A/C,5,P05040,False
EVAL-A1335E48-004,A/C,6,P05000,False
EVAL-A1335E48-004,A/C,7,P05082,False
EVAL-A1335E48-004,A/C,8,P05145,False
EVAL-A1335E48-004,A/C,9,P05065,False
EVAL-A1335E48-004,A/C,10,P05326,False
EVAL-A1335E48-005,A/C,1,P05243,False
EVAL-A1335E48-005,A/C,2,P05172,False
EVAL-A1335E48-005,A/C,3,P05137,False
EVAL-A1335E48-005,A/C,4,P05163,False
EVAL-A1335E48-005,A/C,5,P05113,False
EVAL-A1335E48-005,A/C,6,P05231,False
EVAL-A1335E48-005,A/C,7,P05189,False
EVAL-A1335E48-005,A/C,8,P05291,False
EVAL-A1335E48-005,A/C,9,P05071,False
EVAL-A1335E48-005,A/C,10,P05167,False
EVAL-A1335E48-006,A/C,1,P05246,False
EVAL-A1335E48-006,A/C,2,P05298,False
EVAL-A1335E48-006,A/C,3,P05323,False
EVAL-A1335E48-006,A/C,4,P05001,False
EVAL-A1335E48-006,A/C,5,P05191,False
EVAL-A1335E48-006,A/C,6,P05031,False
EVAL-A1335E48-006,A/C,7,P05160,False
EVAL-A1335E48-006,A/C,8,P05344,False
EVAL-A1335E48-006,A/C,9,P05184,False
EVAL-A1335E48-006,A/C,10,P05131,False
EVAL-A1335E48-007,A/C,1,P05192,False
EVAL-A1335E48-007,A/C,2,P05081,False
EVAL-A1335E48-007,A/C,3,P05044,False
EVAL-A1335E48-007,A/C,4,P05282,False
EVAL-A1335E48-007,A/C,5,P05254,False
EVAL-A1335E48-007,A/C,6,P05093,False
EVAL-A1335E48-007,A/C,7,P05331,False
EVAL-A1335E48-007,A/C,8,P05157,False
EVAL-A1335E48-007,A/C,9,P05229,False
EVAL-A1335E48-007,A/C,10,P05216,False
EVAL-A1335E48-008,A/C,1,P05023,False
EVAL-A1335E48-008,A/C,2,P05336,False
EVAL-A1335E48-008,A/C,3,P05321,False
EVAL-A1335E48-008,A/C,4,P05280,False
EVAL-A1335E48-008,A/C,5,P05284,False
EVAL-A1335E48-008,A/C,6,P05181,False
EVAL-A1335E48-008,A/C,7,P05242,False
EVAL-A1335E48-008,A/C,8,P05239,False
EVAL-A1335E48-008,A/C,9,P05014,False
EVAL-A1335E48-008,A/C,10,P05058,False
EVAL-A1335E48-009,A/C,1,P05347,False
EVAL-A1335E48-009,A/C,2,P05352,False
EVAL-A1335E48-009,A/C,3,P05340,False
EVAL-A1335E48-009,A/C,4,P05315,False
EVAL-A1335E48-009,A/C,5,P05245,False
EVAL-A1335E48-009,A/C,6,P05089,False
EVAL-A1335E48-009,A/C,7,P05277,False
EVAL-A1335E48-009,A/C,8,P05042,False
EVAL-A1335E48-009,A/C,9,P05215,False
EVAL-A1335E48-009,A/C,10,P05136,False
EVAL-A1335E48-010,A/C,1,P05055,False
EVAL-A1335E48-010,A/C,2,P05067,False
EVAL-A1335E48-010,A/C,3,P05117,False
EVAL-A1335E48-010,A/C,4,P05083,False
EVAL-A1335E48-010,A/C,5,P05294,False
EVAL-A1335E48-010,A/C,6,P05233,False
EVAL-A1335E48-010,A/C,7,P05118,False
EVAL-A1335E48-010,A/C,8,P05121,False
EVAL-A1335E48-010,A/C,9,P05218,False
EVAL-A1335E48-010,A/C,10,P05062,False
EVAL-A1335E48-011,A/C,1,P05299,False
EVAL-A1335E48-011,A/C,2,P05209,False
EVAL-A1335E48-011,A/C,3,P05107,False
EVAL-A1335E48-011,A/C,4,P05176,False
EVAL-A1335E48-011,A/C,5,P05217,False
EVAL-A1335E48-011,A/C,6,P05180,False
EVAL-A1335E48-011,A/C,7,P05018,False
EVAL-A1335E48-011,A/C,8,P05012,False
EVAL-A1335E48-011,A/C,9,P05249,False
EVAL-A1335E48-011,A/C,10,P05064,False
EVAL-A1335E48-012,A/C,1,P05212,False
EVAL-A1335E48-012,A/C,2,P05130,False
EVAL-A1335E48-012,A/C,3,P05142,False
EVAL-A1335E48-012,A/C,4,P05164,False
EVAL-A1335E48-012,A/C,5,P05045,False
EVAL-A1335E48-012,A/C,6,P05135,False
EVAL-A1335E48-012,A/C,7,P05043,False
EVAL-A1335E48-012,A/C,8,P05011,False
EVAL-A1335E48-012,A/C,9,P05211,False
EVAL-A1335E48-012,A/C,10,P05226,False
EVAL-A1335E48-013,A/C,1,P05261,False
EVAL-A1335E48-013,A/C,2,P05165,False
EVAL-A1335E48-013,A/C,3,P05013,False
EVAL-A1335E48-013,A/C,4,P05220,False
